Performance Track	業績トラック
exactly	完全に
correct	正しい、訂正
current	現在
contrary	反対
demote	降格
Make sure	確かめる
remain	～のまま、残る
Promotion action	昇進アクション
forbidden	禁じられた
attain	到達
evade	回避
whether	～かどうか
disappoint	失望
badly	残念
whenever	するたびに、するとすぐに
have to	しなければならない
set for life	一生安泰
couple	対になる、結婚する
beg	懇願する、物乞いする
mercy	慈悲
As long as	～さえすれば、長さが同じ、～する限り
met	一致
indicated	指示
acquired	獲得
preserved	温存
Reward Point	報酬ポイント
Keep in mind	留意する
determine	決定
particular	個々、詳細、個別
Aside	別として、余談
regarding	～に関して
regular	いつもの、習慣
From now on	今後
Discard	捨てる、破棄する
announces	宣言
Miraculously	奇跡的に
victim	被害者
stolen	盗まれた
promoted Pixie	昇進済み妖精
as many	同数
no more	これ以上いない
rid	取り除く
happily	幸福に
refuse	拒む
e.g.	つまり
as if	あたかも~のように
more and more	ますます
expensive	費用のかかる
associated	関連した
priority	優先、優位性
advance	前進
altered	変えられた
carry out	計画を実行する
however	どんなふうにでも、けれども
behind	後方
situation	状況
applicable	適用される
performs	実行
obligatory	必須
specified	特定
Vagabond	ヴァガボンド
birds of prey	猛禽類
learn-to-play guide	プレイ学習ガイド
substitute	代わり
though	しかし、にもかかわらず
Woodland Alliance	ウッドランド連合
Eyrie	鷲
special victory condition card	特別勝利条件カード
Prepare​	準備
special victory card	特別勝利カード
Forest Alliance	森の連合
Marquise de Cat	マルキス・デ・キャット
Sawmill	製材所
Workshop	作業場
Recruiter	雇用所
Roost	止まり木
clearing	空き地
Decree	法令
Stronghold	砦
Hideout	隠れ家
Ensure	確保、保証
character pawn	キャラクターポーン
Indifferent	無関心、公平
alignment	整列、一列
Indifferent space	無関心スペース
alignment chart	協力チャート
Conflicts	衝突
precedence	優先
prompted	鼓舞、促進、指示
faction board	派閥ボード
recruit	雇用
affected clearing	影響を受けた空き地
Most often	ほとんどの場合
Improvements and conspiracies	改革と陰謀
victory point	勝利点
if able	可能であれば
conspiracy	策略
forest nation box	森の民ボックス
prompt	鼓舞する、指示する
described	説明
composed	落ち着いた
enclosed	囲まれた
surrounding	周囲
persistent	永続
rule	支配
permission	許可
uniquely	独特
retreat	撤退
defender	ディフェンダー
Declare	撤退
unpreventable	不可避
rather than	よりむしろ	かえって、の代わりに
ambush card	アンブッシュカード
attacker	アタッカー
areas of play	プレイエリア
Marquise	マルキス
Alternatively	代わりに
instruction	命令
Over time	時間の経過
turmoil	混乱
Loyal Vizier	王宮大臣
Conspire	策略	たくらむ、悪巧み
In general	基本的に
considered	みなされる
At any given time	いつでも
Charterstone	チャーターストーン
identical	同じ
extract	引き出し
duties	業務
Want to	~したい
advancement	発展
equitable	公平
capacity	キャパシティ
glory	栄光
advancement card	発展カード
objective card	目標カード
PROGRESS	進展
correspond	一致する
progress	進展
GUIDEPOST	指標
first player	ファーストプレイヤー
constructed building card	建築された建物カード
influence token	影響トークン
quota	ノルマ
reputation	評判
from then on	それ以降
infiuence token	影響トークン
advancement mat	発展マット
peel	皮をむく
crate	木箱
OCCUPIED	占領された
finite	有限
objective mat	目標マット
Forever King	永遠なる王
expect	予期する
valuable	貴重
Cloud Port	クラウドポート
commodity	商品
Further	今後、先、前進
qualify	資格
Progress Track	進展トラック
Income	収入
appraise	評価
certain	いくつか、特定、確信
threshold	閾値
progress token	進展トークン
Eternal City	久遠の都
zeppelin	ツェッペリン
Unfold	展開	開く、広げる
affix	貼り付ける
remnant	残された	残された物、名残、残骸物
Archive	アーカイブ
grain	穀物
rely on	信頼する	依存
oriented	正位置
plot	区画
sticker	ソール
introduce	紹介する
inactive charter	非アクティブチャーター
necessary	必須
consider	みなす
assistant card	アシスタントカード
in advance	あらかじめ
Commons	共有地
Greengully	グリーングリー
Charter Chest	チャーターチェスト
persona card	役割カード
persona	役割
Guidepost slot	ガイドポストスロット
game board	ゲームボード
The player(s)	プレイヤー（たち）
charter	チャーター
peril	危険
unconstructed building card	建築されていない建物カード
advancement deck	発展デッキ
open plot	空いた区画
Botanical Garden	植物園
Pavilion	パビリオン
accomplish	遂行
become	～になる
octagonal	八角形
Minion	ミニオン
peril token	危険トークン
Treasure Cards	トレジャーカード
Thieves	泥棒たち
eventually	最終的に	ゆくゆくは、結局のところ
demand	需要	要求
The player who unlocked this crate	この木箱を開放したプレイヤー
item card	アイテムカード
other than	～以外の
guest card	ゲストカード
Friend card	フレンドカード
inhabitant	住居者
SKY ISLAND	空島
nor	AもBも~であない
Martial law	厳戒令
so well	非常に良く
n addition	~に加えて
campaign victory card.	キャンペーン勝利カード
campaign victory card	キャンペーン勝利カード
furious	激怒
able to	することができる
Scriptorium	スクリプトリウム
helpless	無力
to bits	粉々に
nothing else	他罠にもない
nothing else	他は何もない
Blight token	立ち枯れトークン
regress	後退
Fuel Shortage token	燃料不足トークン
Vermin token	害獣
Disrepair	破損
Famine token	飢餓トークン
confesses	告白	認める
Automa	オートマ
relevant	関連
Otherwise	そうでなければ
retrieve	回収
if any	もしあれば
prioritize	優先
reference	言及
Malfunction token	故障トークン
Hourglass	砂時計
Maitre d'	支配人
race	種族
Unique Unit	独自ユニット
wooden disc	木製ディスク
deployment-order	展開オーダー
Discovery card	ディスカバリーカード
discipline	分野
Early Age	早期
Middle Age	中期
Late Age	後期
Sorcery	魔法学
Science	科学
Religion	宗教学
discoverie	ディスカバリー
General card	将軍カード
Espionage	諜報
Court	法定
Clockwork Wars	クロックウォーズ
Capital	首都
Citadel	要塞
reinforce	増強
Units stationed	駐留ユニット
Scoring Phase	得点フェイズ
Manufactory	工房
Shrine	神殿
Barren	荒れ地
territory	地域
territory type	地域タイプ
In addition	加えて
Spymaster Phase	スパイマスターフェイズ
Spymaster action	スパイマスターアクション
Deployment Phase	展開フェイズ
Recruitment Phase	雇用フェイズ
Combat Phase	戦闘フェイズ
Attrition	消耗
out-of-supply territory	供給のない地域
Research Phase	研究フェイズ
Influence Points (IPs)	影響ポイント（IP）
General	将軍
dominance	優先度
resource territory	リソース地域
Army Strength	軍事力
sacrifice	犠牲
account	考慮
Forced March	強行軍
such as	例えば～など
prohibit	禁止
Perhaps	たぶん
Even though	～であるけれども
declare	宣言
sole	唯一
therefore	その結果
regarding	～に関する
first-player token	ファーストプレイヤートークン
reinforcement order	増強オーダー
not only	～だけではなく
one that	～というのも
often	頻繁に
enhance	高める
circumstance	状況
Scythe	サイズ：大鎌戦役	Scythe
Unfortunately	残念ながら
accumulated	蓄積
out-of-commission	使用不能
Robotanist	ロボタニスト
strive	努力する、競争する
outwit	出し抜く
manipulate	操作、操る、コントロール
Favor Cogs	寵愛の歯車
watch out	警戒する
deceptive	欺く、騙そうとする
Program Boost	プログラムブースト
Queen Tile	クイーンタイル
consist	成り立つ、存在する
Program Card	プログラムカード
Marrissa	マリッサ
Place Program Card	配置プログラムカード
Queen's Favor	クイーンの寵愛
Marrisa	マリッサ
Queen Action	クイーンアクション
Release Lab Robotanists	ラボにロボタニスト返却
Artifact Token	アーティファクトトークン
Possession Card	憑依カード
Cave Ghost	洞窟ゴースト
Focus Cube	フォーカスキューブ
Difficulty Variant Card	難易度ヴァリアントカード	vast
Reference Card	リファレンスカード
accommodate	適合する
collapsing	崩壊
Entrance tile	エントランスタイル
Artifact	アーティファクト
Ambush tile	待ち伏せタイル
Blocking the Ghost	幽霊を止めろ
Possession deck	憑依デッキ
Possession	憑依
Dark tile	ダークタイル
exist	存在
if present	居る場合
STAT ISTICS	ステータス
Movement	移動力
Influence	影響力
Influence	支配力
Influence [INF]	影響力
unrevealed	明らかにされていない
Telekinesis	テレキネシス
open space	空のスペース
Vast: The Crystal Cavern	ヴァスト：クリスタルカーヴァン
obey	～に従う
